date;term;sum;rate
12.01.2021;6;10,0;4,15
12.01.2021;6;10,0;4,15
12.01.2021;6;10,0;4,08
12.01.2021;1;14,0;4,00
13.01.2021;1;14,0;4,11
13.01.2021;1;16,0;4,02
14.01.2021;18;7,0;4,18
14.01.2021;18;7,5;4,22
14.01.2021;1;15,0;4,06
14.01.2021;1;14,0;4,10
14.01.2021;1;13,5;4,13
15.01.2021;3;10,0;4,10
15.01.2021;3;12,0;4,10
15.01.2021;3;14,0;4,10
18.01.2021;9;15,0;4,21
18.01.2021;14;10,0;4,16
18.01.2021;14;7,0;4,17
18.01.2021;14;8,0;4,16
18.01.2021;1;10,0;4,17
18.01.2021;1;12,5;4,17
19.01.2021;16;10,0;4,25
19.01.2021;1;17,0;4,14
19.01.2021;1;18,0;4,17
20.01.2021;1;15,5;4,17
20.01.2021;1;16,0;4,17
21.01.2021;1;16,0;4,21
25.01.2021;1;9,5;4,13
26.01.2021;1;15,0;4,11
26.01.2021;1;15,5;4,15
27.01.2021;1;15,0;4,10
27.01.2021;1;15,5;4,10
28.01.2021;1;14,0;4,10
01.02.2021;1;14,0;4,10
01.02.2021;1;16,0;4,10
01.02.2021;1;17,0;4,10
02.02.2021;1;16,0;3,91
02.02.2021;1;18,0;3,92
03.02.2021;1;14,0;3,80
04.02.2021;1;9,0;3,82
08.02.2021;1;9,0;-
09.02.2021;1;12,5;3,75
09.02.2021;1;13,0;3,75
10.02.2021;1;12,0;3,90
11.02.2021;1;7,0;3,80
15.02.2021;1;10,0;3,80
15.02.2021;1;12,0;3,80
16.02.2021;1;9,5;3,81
17.02.2021;1;9,0;3,85
17.02.2021;1;7,5;3,85
18.02.2021;1;10,0;3,90
18.02.2021;1;11,5;3,86
19.02.2021;1;10,0;3,91
19.02.2021;1;8,5;3,85
24.02.2021;1;6,7;3,85
25.02.2021;1;12,0;3,93
25.02.2021;1;12,5;3,95
01.03.2021;1;16,5;3,82
01.03.2021;1;17,0;3,80
01.03.2021;1;18,0;3,85
02.03.2021;1;12,5;3,80
02.03.2021;1;16,0;3,81
02.03.2021;1;17,0;3,80
02.03.2021;1;19,0;3,80
03.03.2021;1;12,0;3,81
03.03.2021;1;15,0;3,81
03.03.2021;1;16,0;3,81
04.03.2021;1;12,5;3,80
04.03.2021;1;15,0;3,92
04.03.2021;1;16,0;3,92
09.03.2021;1;12,0;3,81
10.03.2021;1;9,0;4,01
10.03.2021;1;8,5;3,84
11.03.2021;1;17,0;3,85
11.03.2021;1;18,0;3,85
15.03.2021;1;3,0;3,84
16.03.2021;1;11,5;3,95
17.03.2021;1;15,5;3,95
18.03.2021;1;11,0;3,92
22.03.2021;1;8,5;4,20
23.03.2021;1;6,0;4,18
24.03.2021;1;10,0;4,15
25.03.2021;1;15,0;4,16
25.03.2021;1;16,0;4,16
25.03.2021;1;18,0;4,16
29.03.2021;1;12,0;4,40
29.03.2021;1;14,0;4,37
29.03.2021;1;15,0;4,43
29.03.2021;1;17,0;4,42
30.03.2021;1;6,0;4,37
31.03.2021;1;10,0;4,38
31.03.2021;1;12,0;4,39
31.03.2021;1;13,0;4,37
31.03.2021;1;14,0;4,34
01.04.2021;1;15,0;4,37
01.04.2021;1;15,5;4,38
01.04.2021;1;16,0;4,41
05.04.2021;1;13,0;-
05.04.2021;1;14,0;-
05.04.2021;1;15,0;-
06.04.2021;1;12,0;4,05
06.04.2021;1;13,0;4,05
07.04.2021;1;11,5;4,07
07.04.2021;1;12,0;4,12
07.04.2021;1;13,0;4,17
08.04.2021;1;13,0;4,10
08.04.2021;1;15,0;4,12
12.04.2021;1;12,0;4,15
12.04.2021;1;13,0;4,20
12.04.2021;1;14,0;4,15
13.04.2021;1;19,0;4,21
14.04.2021;1;16,5;4,22
15.04.2021;1;14,5;4,16
19.04.2021;1;8,5;4,15
20.04.2021;1;7,0;4,15
21.04.2021;1;8,5;4,15
22.04.2021;1;9,0;4,15
26.04.2021;1;10,0;4,65
27.04.2021;1;3,5;4,63
28.04.2021;1;16,0;4,68
